split,video_id,seed,head,delta_frame_macro_f1_present_behaviors,delta_bout_macro_f1_iou25_present_behaviors,delta_bout_macro_f1_iou50_present_behaviors,bout_count_error_reduction
test_1,Mouse060_20160526_18-16-27,42,attention,-0.08250712315588493,-0.12648262320124504,-0.19319851600409432,-11
test_1,Mouse061_20160526_18-38-49,42,attention,-0.13329915880920273,-0.3402605244996549,-0.32748447204968945,-18
test_1,Mouse062_20160526_18-56-26,42,attention,-0.012033942795675934,-0.05061538461538462,-0.0489487179487178,7
test_1,Mouse063_20160526_19-14-46,42,attention,-0.3132294068014043,-0.2568778383457245,-0.21257337664113146,-13
test_1,Mouse069_20160709_16-02-03,42,attention,-0.04204530050421157,-0.029940396506661582,-0.046430165104863974,-8
test_1,Mouse070_20160709_16-58-36,42,attention,-0.021383663582699275,-0.015113225929094087,-0.046725497417862694,26
test_1,Mouse074_20160709_19-15-23,42,attention,-0.0026491484215688255,0.03958883885221276,0.026968960000764486,16
test_1,Mouse077_20160709_18-29-34,42,attention,0.057787402432576074,0.08767951485759151,0.039042900805252495,33
test_1,Mouse162_20161017_19-58-28,42,attention,-0.0063781278090677684,-0.05364426877470352,-0.02511857707509879,-7
test_1,Mouse163_20161018_18-22-45,42,attention,-0.45104017854048317,-0.618499012508229,-0.4743252139565504,-27
test_2,Mouse155_20151124_20-48-31,42,attention,-0.026918780285298483,-0.016617790811339295,-0.01857282502443791,-2
test_2,Mouse155_20151124_20-56-05,42,attention,0.020993894302551608,0.06350982350982337,0.13682317682317685,5
test_2,Mouse155_20151124_21-11-28,42,attention,-0.07448586226697917,-0.12853812853812852,-0.20551670551670548,-7
test_2,Mouse155_20151129_22-41-43,42,attention,-0.2732919065198218,-0.3695652173913043,-0.3577075098814229,-3
test_2,Mouse156_20151012_20-16-37,42,attention,0.034661730957173065,0.0691744563176876,0.20386199052080173,-4
test_2,Mouse156_20151124_21-53-46,42,attention,-0.11360272801028493,0.009937888198757794,-0.16785714285714282,3
test_2,Mouse158_20151129_21-12-54,42,attention,0.020977854999999712,0.021052631578947545,0.02341008771929831,8
test_2,Mouse159_20151129_20-48-38,42,attention,0.03328001686654647,0.06503881013684931,0.07788435239415631,4
test_2,Mouse159_20151129_20-57-31,42,attention,-0.048448162454777455,0.014705882352941124,-0.07647058823529418,3
test_2,Mouse627_20181026_17-29-36_01994-09560,42,attention,-0.010815432302845762,-0.036835953120674336,-0.03829708696053413,-1
test_2,Mouse627_20181026_17-29-36_10191-15523,42,attention,-0.000683615188387332,-0.03458498023715406,0.07641633728590252,2
test_2,Mouse627_20181026_17-29-36_16209-22286,42,attention,-0.0057014148278002885,-0.011842105263157876,-0.10992822966507165,-1
test_2,Mouse630_20181025_18-44-29_01807-21458,42,attention,-0.007063722159368013,-0.0034716542546916473,-0.04796627435303258,-4
test_2,Mouse630_20181025_18-44-29_21460-30528,42,attention,-0.0065696087511468715,0.001276595744680975,-0.019999999999999907,0
test_2,Mouse835-female_20200325_18-28-49_10767-24391,42,attention,-0.0940381856550343,-0.15210386857445668,-0.34830948595654476,1
test_2,Mouse836-female_20200322_19-33-17_00957-13323,42,attention,-0.3470018668402144,-0.21587301587301588,-0.2317460317460318,-1
test_2,Mouse836-female_20200322_19-33-17_14594-23870,42,attention,-0.0933326734468356,-0.08742368742368734,-0.2941391941391942,-6
test_2,Mouse839-female_20200322_20-15-11_12885-24623,42,attention,-0.2612250722486944,-0.3434565939621551,-0.3664668496316626,-14
test_1,Mouse060_20160526_18-16-27,43,attention,-0.007908036721179124,-0.061175528922824185,-0.01189597058776981,-11
test_1,Mouse061_20160526_18-38-49,43,attention,0.01694479960762285,0.06124667258207639,0.12218961163060549,-6
test_1,Mouse062_20160526_18-56-26,43,attention,0.00045459451309637355,-0.017897724322921138,0.006732196936921175,4
test_1,Mouse063_20160526_19-14-46,43,attention,-0.0594716279552715,-0.05590007476799941,-0.06003430531732418,0
test_1,Mouse069_20160709_16-02-03,43,attention,-0.008778661197216153,0.04758556024378807,-0.023515187405927035,1
test_1,Mouse070_20160709_16-58-36,43,attention,-0.01751589699581635,-0.004304999935863085,-0.05236028918436417,22
test_1,Mouse074_20160709_19-15-23,43,attention,-0.04540935837052151,-0.06321773132236963,0.0022819325702275184,-5
test_1,Mouse077_20160709_18-29-34,43,attention,0.045793453268080375,0.04464286846911891,0.009949377952643224,18
test_1,Mouse162_20161017_19-58-28,43,attention,-0.060772334003599826,-0.059351276742581116,-0.10282953761214636,2
test_1,Mouse163_20161018_18-22-45,43,attention,-0.19195107155503588,-0.18657133697302286,-0.2678674813536629,-13
test_2,Mouse155_20151124_20-48-31,43,attention,-0.011885641389581814,0.10476190476190483,0.0714285714285714,2
test_2,Mouse155_20151124_20-56-05,43,attention,-0.002869079147247211,-0.0006688963210701449,0.005574136008918595,6
test_2,Mouse155_20151124_21-11-28,43,attention,-0.03148804208808098,-0.0747883695252115,-0.11086983192246352,0
test_2,Mouse155_20151129_22-41-43,43,attention,0.2301455976256449,0.36159079016221873,0.33908948194662475,4
test_2,Mouse156_20151012_20-16-37,43,attention,-0.010996914182155204,0.07822469363277895,0.1243355057237589,7
test_2,Mouse156_20151124_21-53-46,43,attention,-0.0996119760813518,-0.13334979098778837,-0.1193558474046279,0
test_2,Mouse158_20151129_21-12-54,43,attention,0.017635250435303895,0.027875243664717497,-0.02690058479532159,7
test_2,Mouse159_20151129_20-48-38,43,attention,-0.006246659384744779,-0.034739851343624895,-0.0994168096054889,-5
test_2,Mouse159_20151129_20-57-31,43,attention,0.0068598017460475,0.0,0.0,0
test_2,Mouse627_20181026_17-29-36_01994-09560,43,attention,-0.0050218088997913135,-0.0372050816696915,-0.017644686428715417,0
test_2,Mouse627_20181026_17-29-36_10191-15523,43,attention,-0.002336666398904841,-0.01041511679809548,0.08484600505877105,6
test_2,Mouse627_20181026_17-29-36_16209-22286,43,attention,-0.0825427870831813,-0.11895351025785805,-0.168548842461886,-11
test_2,Mouse630_20181025_18-44-29_01807-21458,43,attention,-0.011348110773955145,-0.06289979978354288,-0.055120450420035105,2
test_2,Mouse630_20181025_18-44-29_21460-30528,43,attention,-0.021309853507052057,-0.06306306306306309,-0.060810810810810745,4
test_2,Mouse835-female_20200325_18-28-49_10767-24391,43,attention,-0.01456319915910076,-0.014084507042253502,-0.1615023474178403,0
test_2,Mouse836-female_20200322_19-33-17_00957-13323,43,attention,-0.06140662848304046,0.026625704045058818,0.01126472094214026,2
test_2,Mouse836-female_20200322_19-33-17_14594-23870,43,attention,0.0027526409462264034,-0.014084507042253391,-0.028169014084507116,0
test_2,Mouse839-female_20200322_20-15-11_12885-24623,43,attention,-0.0409954063026472,-0.02308255984367369,-0.05291393005120426,-3
test_1,Mouse060_20160526_18-16-27,44,attention,0.005249127737358861,0.016134836486362936,-0.018246138690171887,-24
test_1,Mouse061_20160526_18-38-49,44,attention,0.012575280213535822,-0.05784786641929496,-0.016215213358070413,4
test_1,Mouse062_20160526_18-56-26,44,attention,0.004583778180656806,-0.04286370195461098,-0.024367047094319805,8
test_1,Mouse063_20160526_19-14-46,44,attention,-0.10005934058720567,-0.1034023984997039,-0.0825812660393499,-12
test_1,Mouse069_20160709_16-02-03,44,attention,-0.034621837651013454,0.012968275217271175,-0.0176161435866925,-7
test_1,Mouse070_20160709_16-58-36,44,attention,-0.010356716404939625,-0.026110026786161034,-0.022960888970130322,0
test_1,Mouse074_20160709_19-15-23,44,attention,0.014884949550977855,0.004337044970419535,-0.0016158986381130669,-8
test_1,Mouse077_20160709_18-29-34,44,attention,0.04330013522985343,0.07457492181833458,0.0439216580391914,7
test_1,Mouse162_20161017_19-58-28,44,attention,-0.05833833886483575,-0.04097307058731192,-0.04616888422496612,-1
test_1,Mouse163_20161018_18-22-45,44,attention,-0.19164648318944977,-0.2855836031105181,-0.18425955573616293,-17
test_2,Mouse155_20151124_20-48-31,44,attention,0.02849479489715523,0.03809523809523818,0.09047619047619049,-5
test_2,Mouse155_20151124_20-56-05,44,attention,0.01859727522912502,0.12929521458933224,0.06897573015220082,1
test_2,Mouse155_20151124_21-11-28,44,attention,-0.021885470195228462,-0.06892944453920058,-0.05738245494343053,-3
test_2,Mouse155_20151129_22-41-43,44,attention,0.0009851005598334739,0.0444444444444444,0.012200435729847414,6
test_2,Mouse156_20151012_20-16-37,44,attention,0.08106300354597451,0.18680617343698397,0.11883776880575447,-9
test_2,Mouse156_20151124_21-53-46,44,attention,-0.045933356246443624,-0.1274853801169591,-0.04692982456140349,-4
test_2,Mouse158_20151129_21-12-54,44,attention,0.03193411645330757,0.010721247563352798,0.0038986354775829013,-3
test_2,Mouse159_20151129_20-48-38,44,attention,0.005589686547303074,-0.09613773468220899,-0.12065436809372118,-5
test_2,Mouse159_20151129_20-57-31,44,attention,0.016763148195263033,-0.05059523809523814,0.029761904761904767,-5
test_2,Mouse627_20181026_17-29-36_01994-09560,44,attention,-0.004868225258252923,-0.06149425287356336,0.04195402298850581,-1
test_2,Mouse627_20181026_17-29-36_10191-15523,44,attention,0.02999899896874214,-0.020784770784770812,0.09487179487179487,5
test_2,Mouse627_20181026_17-29-36_16209-22286,44,attention,-0.07258957677110922,-0.15476190476190477,-0.17640692640692635,-12
test_2,Mouse630_20181025_18-44-29_01807-21458,44,attention,-0.017777649880709956,-0.08346990254755116,-0.06515448249929501,-1
test_2,Mouse630_20181025_18-44-29_21460-30528,44,attention,-0.025047868959185426,-0.11702380952380953,-0.09857142857142853,2
test_2,Mouse835-female_20200325_18-28-49_10767-24391,44,attention,-0.009505681772319363,-0.08861111111111097,-0.16888888888888887,-4
test_2,Mouse836-female_20200322_19-33-17_00957-13323,44,attention,-0.06292335652703729,0.021249359959037428,0.004352278545826815,0
test_2,Mouse836-female_20200322_19-33-17_14594-23870,44,attention,0.01642142236394939,0.005590062111801242,0.06252587991718439,-1
test_2,Mouse839-female_20200322_20-15-11_12885-24623,44,attention,-0.029216016506332987,-0.006821829855537809,-0.053741202617607065,-2
test_1,Mouse060_20160526_18-16-27,42,lstm,-0.04014121451015251,-0.03326349717969368,-0.10194824961948257,-4
test_1,Mouse061_20160526_18-38-49,42,lstm,-0.007410352910816376,-0.08815765787105023,-0.15291913401866508,3
test_1,Mouse062_20160526_18-56-26,42,lstm,-0.00038313415476276536,-0.015873015873015817,-0.007936507936507908,-2
test_1,Mouse063_20160526_19-14-46,42,lstm,-0.11244495324345427,-0.11754304144712541,-0.1680878444647647,-2
test_1,Mouse069_20160709_16-02-03,42,lstm,-0.12746500262285193,-0.10607530158236184,-0.10853680147646771,-1
test_1,Mouse070_20160709_16-58-36,42,lstm,0.015070121716687312,0.016140211025121587,0.00020703933747412417,20
test_1,Mouse074_20160709_19-15-23,42,lstm,0.019618525592513314,0.02083860207883126,0.0117495150324749,6
test_1,Mouse077_20160709_18-29-34,42,lstm,0.05906393826988193,0.06999903409639707,0.039761853924873,29
test_1,Mouse162_20161017_19-58-28,42,lstm,-0.016668673847182958,0.0403938471362274,-0.1303535388088804,-1
test_1,Mouse163_20161018_18-22-45,42,lstm,-0.21512969660703862,-0.24507563644116248,-0.27834694886181943,-14
test_2,Mouse155_20151124_20-48-31,42,lstm,0.012388570841046054,0.08110599078341019,0.11121351766513055,1
test_2,Mouse155_20151124_20-56-05,42,lstm,0.033100639175445146,0.090574828221887,0.1573152337858219,5
test_2,Mouse155_20151124_21-11-28,42,lstm,-0.14354637497155265,-0.14108391608391624,-0.41522921522921524,-4
test_2,Mouse155_20151129_22-41-43,42,lstm,-0.26616575829612044,-0.341183574879227,-0.3665458937198067,1
test_2,Mouse156_20151012_20-16-37,42,lstm,0.09605196958281714,0.1757994252907314,0.11843531437732327,-13
test_2,Mouse156_20151124_21-53-46,42,lstm,-0.19211995850305086,-0.18996674057649665,-0.153769401330377,0
test_2,Mouse158_20151129_21-12-54,42,lstm,0.03841638700391048,0.05747126436781613,0.04624588290649989,4
test_2,Mouse159_20151129_20-48-38,42,lstm,0.009793660144455596,0.06334776334776338,0.03025538402896899,-4
test_2,Mouse159_20151129_20-57-31,42,lstm,-0.017422935627521507,0.02786377708978316,-0.024767801857585203,2
test_2,Mouse627_20181026_17-29-36_01994-09560,42,lstm,-0.03302285118734505,-0.08389830508474583,-0.08389830508474572,-1
test_2,Mouse627_20181026_17-29-36_10191-15523,42,lstm,-0.02339882463486298,-0.10494770929553532,-0.05355948399426658,0
test_2,Mouse627_20181026_17-29-36_16209-22286,42,lstm,-0.005370718439405842,0.051083591331269385,-0.037151702786377694,-5
test_2,Mouse630_20181025_18-44-29_01807-21458,42,lstm,-0.013129285736287466,-0.0031649683466854484,-0.026374252060170633,3
test_2,Mouse630_20181025_18-44-29_21460-30528,42,lstm,0.007356999220022642,-0.031385281385281516,-0.012987012987012991,5
test_2,Mouse835-female_20200325_18-28-49_10767-24391,42,lstm,-0.007277085829460184,0.03741228070175451,-0.053991228070175534,-1
test_2,Mouse836-female_20200322_19-33-17_00957-13323,42,lstm,-0.199890135416937,-0.16154633896569376,-0.1784434203789042,-2
test_2,Mouse836-female_20200322_19-33-17_14594-23870,42,lstm,0.006171498836690992,0.011907536907536986,-0.007964257964258037,-8
test_2,Mouse839-female_20200322_20-15-11_12885-24623,42,lstm,-0.10195209881690392,-0.11708980674497926,-0.15132543618300742,0
test_1,Mouse060_20160526_18-16-27,43,lstm,-0.050916151665408416,-0.04384876313394559,-0.1765533217506412,2
test_1,Mouse061_20160526_18-38-49,43,lstm,-0.01944468279429279,-0.08165212496481855,-0.14553804296838357,5
test_1,Mouse062_20160526_18-56-26,43,lstm,-0.009863478104477408,-0.08468834688346882,-0.09998064266356943,6
test_1,Mouse063_20160526_19-14-46,43,lstm,-0.07573362444117293,-0.08423904238389407,-0.0827584666916873,6
test_1,Mouse069_20160709_16-02-03,43,lstm,-0.15254275134697276,-0.14312011919298123,-0.1654137929222832,2
test_1,Mouse070_20160709_16-58-36,43,lstm,-0.030473507578088754,-0.03371135212770998,-0.09344533565480811,24
test_1,Mouse074_20160709_19-15-23,43,lstm,-0.02196305150253175,-0.09601248192887701,-0.0328138326508145,2
test_1,Mouse077_20160709_18-29-34,43,lstm,0.02098942994874886,0.017426919847796818,-0.03324173380312739,9
test_1,Mouse162_20161017_19-58-28,43,lstm,0.017564977581274732,0.0636271614846936,-0.034334189841296436,-1
test_1,Mouse163_20161018_18-22-45,43,lstm,-0.22219175926252144,-0.2506279450326294,-0.2673882612724513,-13
test_2,Mouse155_20151124_20-48-31,43,lstm,-0.023281626039228565,0.046141215106732414,0.010509031198686403,1
test_2,Mouse155_20151124_20-56-05,43,lstm,0.013232178024417562,0.031117835465661492,0.09929925147316448,7
test_2,Mouse155_20151124_21-11-28,43,lstm,-0.02634905898883766,-0.1869095816464239,-0.1631129104813316,-3
test_2,Mouse155_20151129_22-41-43,43,lstm,-0.014443466380665737,-0.12131519274376429,-0.10912698412698407,1
test_2,Mouse156_20151012_20-16-37,43,lstm,0.019400742215836986,0.08866825605956058,0.10652975580511817,1
test_2,Mouse156_20151124_21-53-46,43,lstm,-0.13423618247316949,-0.095580587133959,-0.1744331183690451,1
test_2,Mouse158_20151129_21-12-54,43,lstm,0.00551442750954334,0.04062126642771802,-0.016726403823178027,8
