track,from_behavior,to_behavior,transition_probability
Ground truth,attack,attack,0.06741573033707865
Ground truth,attack,investigation,0.9269662921348315
Ground truth,attack,mount,0.0056179775280898875
Ground truth,investigation,attack,0.22714681440443213
Ground truth,investigation,investigation,0.6301939058171745
Ground truth,investigation,mount,0.14265927977839335
Ground truth,mount,attack,0.0049261083743842365
Ground truth,mount,investigation,0.9950738916256158
Ground truth,mount,mount,0.0
Full attention-256,attack,attack,0.3382352941176471
Full attention-256,attack,investigation,0.6102941176470589
Full attention-256,attack,mount,0.051470588235294115
Full attention-256,investigation,attack,0.1925754060324826
Full attention-256,investigation,investigation,0.5928074245939675
Full attention-256,investigation,mount,0.21461716937354988
Full attention-256,mount,attack,0.055
Full attention-256,mount,investigation,0.915
Full attention-256,mount,mount,0.03
Full LSTM-256,attack,attack,0.3442622950819672
Full LSTM-256,attack,investigation,0.6065573770491803
Full LSTM-256,attack,mount,0.04918032786885246
Full LSTM-256,investigation,attack,0.21505376344086022
Full LSTM-256,investigation,investigation,0.5603345280764636
Full LSTM-256,investigation,mount,0.22461170848267623
Full LSTM-256,mount,attack,0.09268292682926829
Full LSTM-256,mount,investigation,0.8731707317073171
Full LSTM-256,mount,mount,0.03414634146341464
