track,from_behavior,to_behavior,transition_count
Ground truth,attack,attack,24
Ground truth,attack,investigation,330
Ground truth,attack,mount,2
Ground truth,investigation,attack,328
Ground truth,investigation,investigation,910
Ground truth,investigation,mount,206
Ground truth,mount,attack,1
Ground truth,mount,investigation,202
Ground truth,mount,mount,0
Full attention-256,attack,attack,92
Full attention-256,attack,investigation,166
Full attention-256,attack,mount,14
Full attention-256,investigation,attack,166
Full attention-256,investigation,investigation,511
Full attention-256,investigation,mount,185
Full attention-256,mount,attack,11
Full attention-256,mount,investigation,183
Full attention-256,mount,mount,6
Full LSTM-256,attack,attack,105
Full LSTM-256,attack,investigation,185
Full LSTM-256,attack,mount,15
Full LSTM-256,investigation,attack,180
Full LSTM-256,investigation,investigation,469
Full LSTM-256,investigation,mount,188
Full LSTM-256,mount,attack,19
Full LSTM-256,mount,investigation,179
Full LSTM-256,mount,mount,7
