track,backbone,head,seed,from_behavior,to_behavior,transition_count
Ground truth,ground_truth,,,attack,attack,24
Ground truth,ground_truth,,,attack,investigation,330
Ground truth,ground_truth,,,attack,mount,2
Ground truth,ground_truth,,,investigation,attack,328
Ground truth,ground_truth,,,investigation,investigation,910
Ground truth,ground_truth,,,investigation,mount,206
Ground truth,ground_truth,,,mount,attack,1
Ground truth,ground_truth,,,mount,investigation,202
Ground truth,ground_truth,,,mount,mount,0
YOLO/SPPF Attention-256,yolo_sppf,attention,42,attack,attack,92
YOLO/SPPF Attention-256,yolo_sppf,attention,42,attack,investigation,166
YOLO/SPPF Attention-256,yolo_sppf,attention,42,attack,mount,14
YOLO/SPPF Attention-256,yolo_sppf,attention,42,investigation,attack,166
YOLO/SPPF Attention-256,yolo_sppf,attention,42,investigation,investigation,511
YOLO/SPPF Attention-256,yolo_sppf,attention,42,investigation,mount,185
YOLO/SPPF Attention-256,yolo_sppf,attention,42,mount,attack,11
YOLO/SPPF Attention-256,yolo_sppf,attention,42,mount,investigation,183
YOLO/SPPF Attention-256,yolo_sppf,attention,42,mount,mount,6
YOLO/SPPF Attention-256,yolo_sppf,attention,43,attack,attack,85
YOLO/SPPF Attention-256,yolo_sppf,attention,43,attack,investigation,173
YOLO/SPPF Attention-256,yolo_sppf,attention,43,attack,mount,6
YOLO/SPPF Attention-256,yolo_sppf,attention,43,investigation,attack,170
YOLO/SPPF Attention-256,yolo_sppf,attention,43,investigation,investigation,518
YOLO/SPPF Attention-256,yolo_sppf,attention,43,investigation,mount,176
YOLO/SPPF Attention-256,yolo_sppf,attention,43,mount,attack,7
YOLO/SPPF Attention-256,yolo_sppf,attention,43,mount,investigation,170
YOLO/SPPF Attention-256,yolo_sppf,attention,43,mount,mount,4
YOLO/SPPF Attention-256,yolo_sppf,attention,44,attack,attack,72
YOLO/SPPF Attention-256,yolo_sppf,attention,44,attack,investigation,183
YOLO/SPPF Attention-256,yolo_sppf,attention,44,attack,mount,12
YOLO/SPPF Attention-256,yolo_sppf,attention,44,investigation,attack,182
YOLO/SPPF Attention-256,yolo_sppf,attention,44,investigation,investigation,550
YOLO/SPPF Attention-256,yolo_sppf,attention,44,investigation,mount,190
YOLO/SPPF Attention-256,yolo_sppf,attention,44,mount,attack,10
YOLO/SPPF Attention-256,yolo_sppf,attention,44,mount,investigation,187
YOLO/SPPF Attention-256,yolo_sppf,attention,44,mount,mount,5
YOLO/SPPF LSTM-256,yolo_sppf,lstm,42,attack,attack,105
YOLO/SPPF LSTM-256,yolo_sppf,lstm,42,attack,investigation,185
YOLO/SPPF LSTM-256,yolo_sppf,lstm,42,attack,mount,15
YOLO/SPPF LSTM-256,yolo_sppf,lstm,42,investigation,attack,180
YOLO/SPPF LSTM-256,yolo_sppf,lstm,42,investigation,investigation,469
YOLO/SPPF LSTM-256,yolo_sppf,lstm,42,investigation,mount,188
YOLO/SPPF LSTM-256,yolo_sppf,lstm,42,mount,attack,19
YOLO/SPPF LSTM-256,yolo_sppf,lstm,42,mount,investigation,179
YOLO/SPPF LSTM-256,yolo_sppf,lstm,42,mount,mount,7
YOLO/SPPF LSTM-256,yolo_sppf,lstm,43,attack,attack,72
YOLO/SPPF LSTM-256,yolo_sppf,lstm,43,attack,investigation,179
YOLO/SPPF LSTM-256,yolo_sppf,lstm,43,attack,mount,8
YOLO/SPPF LSTM-256,yolo_sppf,lstm,43,investigation,attack,175
YOLO/SPPF LSTM-256,yolo_sppf,lstm,43,investigation,investigation,523
YOLO/SPPF LSTM-256,yolo_sppf,lstm,43,investigation,mount,183
YOLO/SPPF LSTM-256,yolo_sppf,lstm,43,mount,attack,10
YOLO/SPPF LSTM-256,yolo_sppf,lstm,43,mount,investigation,177
YOLO/SPPF LSTM-256,yolo_sppf,lstm,43,mount,mount,4
YOLO/SPPF LSTM-256,yolo_sppf,lstm,44,attack,attack,67
YOLO/SPPF LSTM-256,yolo_sppf,lstm,44,attack,investigation,196
YOLO/SPPF LSTM-256,yolo_sppf,lstm,44,attack,mount,11
YOLO/SPPF LSTM-256,yolo_sppf,lstm,44,investigation,attack,187
YOLO/SPPF LSTM-256,yolo_sppf,lstm,44,investigation,investigation,552
YOLO/SPPF LSTM-256,yolo_sppf,lstm,44,investigation,mount,197
YOLO/SPPF LSTM-256,yolo_sppf,lstm,44,mount,attack,19
YOLO/SPPF LSTM-256,yolo_sppf,lstm,44,mount,investigation,186
YOLO/SPPF LSTM-256,yolo_sppf,lstm,44,mount,mount,3
MobileNetV3 Attention-256,mobilenetv3_native,attention,42,attack,attack,60
MobileNetV3 Attention-256,mobilenetv3_native,attention,42,attack,investigation,204
MobileNetV3 Attention-256,mobilenetv3_native,attention,42,attack,mount,5
MobileNetV3 Attention-256,mobilenetv3_native,attention,42,investigation,attack,200
MobileNetV3 Attention-256,mobilenetv3_native,attention,42,investigation,investigation,597
MobileNetV3 Attention-256,mobilenetv3_native,attention,42,investigation,mount,153
MobileNetV3 Attention-256,mobilenetv3_native,attention,42,mount,attack,6
MobileNetV3 Attention-256,mobilenetv3_native,attention,42,mount,investigation,149
MobileNetV3 Attention-256,mobilenetv3_native,attention,42,mount,mount,1
MobileNetV3 Attention-256,mobilenetv3_native,attention,43,attack,attack,79
MobileNetV3 Attention-256,mobilenetv3_native,attention,43,attack,investigation,182
MobileNetV3 Attention-256,mobilenetv3_native,attention,43,attack,mount,16
MobileNetV3 Attention-256,mobilenetv3_native,attention,43,investigation,attack,183
MobileNetV3 Attention-256,mobilenetv3_native,attention,43,investigation,investigation,515
MobileNetV3 Attention-256,mobilenetv3_native,attention,43,investigation,mount,158
MobileNetV3 Attention-256,mobilenetv3_native,attention,43,mount,attack,14
MobileNetV3 Attention-256,mobilenetv3_native,attention,43,mount,investigation,156
MobileNetV3 Attention-256,mobilenetv3_native,attention,43,mount,mount,13
MobileNetV3 Attention-256,mobilenetv3_native,attention,44,attack,attack,68
MobileNetV3 Attention-256,mobilenetv3_native,attention,44,attack,investigation,176
MobileNetV3 Attention-256,mobilenetv3_native,attention,44,attack,mount,11
MobileNetV3 Attention-256,mobilenetv3_native,attention,44,investigation,attack,175
MobileNetV3 Attention-256,mobilenetv3_native,attention,44,investigation,investigation,508
MobileNetV3 Attention-256,mobilenetv3_native,attention,44,investigation,mount,162
MobileNetV3 Attention-256,mobilenetv3_native,attention,44,mount,attack,11
MobileNetV3 Attention-256,mobilenetv3_native,attention,44,mount,investigation,156
MobileNetV3 Attention-256,mobilenetv3_native,attention,44,mount,mount,15
MobileNetV3 LSTM-256,mobilenetv3_native,lstm,42,attack,attack,72
MobileNetV3 LSTM-256,mobilenetv3_native,lstm,42,attack,investigation,182
MobileNetV3 LSTM-256,mobilenetv3_native,lstm,42,attack,mount,7
MobileNetV3 LSTM-256,mobilenetv3_native,lstm,42,investigation,attack,180
MobileNetV3 LSTM-256,mobilenetv3_native,lstm,42,investigation,investigation,555
MobileNetV3 LSTM-256,mobilenetv3_native,lstm,42,investigation,mount,172
MobileNetV3 LSTM-256,mobilenetv3_native,lstm,42,mount,attack,6
MobileNetV3 LSTM-256,mobilenetv3_native,lstm,42,mount,investigation,169
MobileNetV3 LSTM-256,mobilenetv3_native,lstm,42,mount,mount,7
MobileNetV3 LSTM-256,mobilenetv3_native,lstm,43,attack,attack,68
MobileNetV3 LSTM-256,mobilenetv3_native,lstm,43,attack,investigation,192
MobileNetV3 LSTM-256,mobilenetv3_native,lstm,43,attack,mount,6
MobileNetV3 LSTM-256,mobilenetv3_native,lstm,43,investigation,attack,185
MobileNetV3 LSTM-256,mobilenetv3_native,lstm,43,investigation,investigation,562
MobileNetV3 LSTM-256,mobilenetv3_native,lstm,43,investigation,mount,178
MobileNetV3 LSTM-256,mobilenetv3_native,lstm,43,mount,attack,10
MobileNetV3 LSTM-256,mobilenetv3_native,lstm,43,mount,investigation,170
MobileNetV3 LSTM-256,mobilenetv3_native,lstm,43,mount,mount,6
MobileNetV3 LSTM-256,mobilenetv3_native,lstm,44,attack,attack,45
MobileNetV3 LSTM-256,mobilenetv3_native,lstm,44,attack,investigation,205
MobileNetV3 LSTM-256,mobilenetv3_native,lstm,44,attack,mount,8
MobileNetV3 LSTM-256,mobilenetv3_native,lstm,44,investigation,attack,202
MobileNetV3 LSTM-256,mobilenetv3_native,lstm,44,investigation,investigation,630
MobileNetV3 LSTM-256,mobilenetv3_native,lstm,44,investigation,mount,176
MobileNetV3 LSTM-256,mobilenetv3_native,lstm,44,mount,attack,8
MobileNetV3 LSTM-256,mobilenetv3_native,lstm,44,mount,investigation,173
MobileNetV3 LSTM-256,mobilenetv3_native,lstm,44,mount,mount,2
